Időszak;Mindösszesen Összevont gazdálkodási forma;Központi költségvetési szervek;Helyi költségvetési szervek;Non-profit szervezetek;Vállalkozások;Költségvetési szervezetek
2000. január;81365;134612;66977;70582;77324;
2000. február;77833;95832;60760;68446;79871;
2000. március;81792;98548;64760;71165;84035;
2000. április;82945;109443;63533;73485;84375;
2000. május;85423;103018;63768;72767;88869;
2000. június;86082;106871;68893;76369;87822;
2000. július;86892;115470;69889;71584;87493;
2000. augusztus;83173;99662;61500;73382;86759;
2000. szeptember;83500;103844;61870;72085;86562;
2000. október;87360;118743;67071;75333;88407;
2000. november;100927;125329;90463;87884;100357;
2000. december;115805;195622;95530;117240;109195;
2001. január;94257;135778;77453;80155;92799;
2001. február;91308;109287;74097;78988;93459;
2001. március;95258;113877;75186;81278;98132;
2001. április;99252;131507;86277;87950;98195;
2001. május;98510;115243;76121;85908;102349;
2001. június;101562;129861;82099;84829;102973;
2001. július;99059;129570;73476;82290;101800;
2001. augusztus;97576;120920;72444;82639;101230;
2001. szeptember;99410;141019;78199;85332;99237;
2001. október;106157;166856;85423;88626;103077;
2001. november;124064;192543;107791;101761;118603;
2001. december;136637;257127;120320;132574;122663;
2002. január;112613;186749;96653;92106;106127;
2002. február;108903;162764;90747;90472;106041;
2002. március;113928;164419;91576;94070;112757;
2002. április;114299;165245;90612;93115;113489;
2002. május;118176;168508;94727;99740;117335;
2002. június;118941;169886;101344;100635;116430;
2002. július;116481;165536;91123;99453;116298;
2002. augusztus;113377;157161;88999;96960;113625;
2002. szeptember;120580;176325;117556;110292;112973;
2002. október;126809;194533;128211;117877;116005;
2002. november;142500;213744;147603;132534;130302;
2002. december;162771;305880;168914;175342;137906;
2003. január;136199;226494;156392;123013;116528;
2003. február;123285;172826;120384;117315;116381;
2003. március;127111;174700;123867;117196;120725;
2003. április;130067;182171;122522;119551;124200;
2003. május;132801;184370;124186;123557;127323;
2003. június;134992;197657;133527;125948;125691;
2003. július;132842;189874;124898;120780;126269;
2003. augusztus;129637;184365;122816;119536;123031;
2003. szeptember;130978;186368;123343;125026;124367;
2003. október;136633;204324;132857;120017;127203;
2003. november;156072;232425;162990;137694;142363;
2003. december;175772;323993;180872;186813;150169;
2004. január;146011;242212;159097;129552;127754;189681
2004. február;134183;184540;127605;123449;128295;148476
2004. március;141668;189378;128557;126025;138159;150748
2004. április;140319;189518;128580;125948;136197;150699
2004. május;141350;193966;130177;132498;136464;153190
2004. június;145856;211844;139306;133548;137729;165425
2004. július;140775;193201;128023;128802;136396;151731
2004. augusztus;138864;188305;125919;129956;134898;148699
2004. szeptember;139651;194077;126852;129800;134883;151380
2004. október;143319;211335;134152;132280;135473;162365
2004. november;163950;227527;156645;145269;156529;182631
2004. december;170607;255321;143565;178610;164461;184502
2005. január;184246;373474;254718;167014;136693;298231
2005. február;144893;202955;139101;134804;137762;162393
2005. március;150970;204764;141538;137710;145567;164534
2005. április;150014;207671;137695;135713;144941;162841
2005. május;155918;221853;140208;147100;150395;169408
2005. június;155686;215560;150844;147901;148039;174025
2005. július;151357;214586;139172;140156;145287;166450
2005. augusztus;148434;200958;135350;138555;144214;159072
2005. szeptember;150338;206044;139151;144495;145004;163277
2005. október;152881;219304;146088;133682;145069;172589
2005. november;175856;247273;166527;154413;168053;195878
2005. december;179893;275302;155360;185634;171709;199172
2006. január;195708;390169;267497;177338;147947;312394
2006. február;157294;218041;145028;144668;151671;171707
2006. március;162525;217890;146699;147530;158748;172711
2006. április;162173;231532;149647;147550;155467;179446
2006. május;166226;236783;153543;150047;159463;183751
2006. június;166001;226654;161664;169472;157978;185239
2006. július;164522;231705;151212;158023;158216;180492
2006. augusztus;164479;219167;148031;147653;161180;173869
2006. szeptember;161421;219228;149150;148410;156518;174463
2006. október;167231;239062;151394;147697;161454;183012
2006. november;187713;259484;169655;158272;182907;201947
2006. december;201569;299844;158601;191873;198626;209637
2007. január;209381;418781;279597;181682;163208;329775
2007. február;166316;222009;146228;158479;163732;173502
2007. március;176403;232010;153762;155761;174998;181641
2007. április;175927;242108;147027;157802;174663;180611
2007. május;178654;232351;157175;161252;177252;183638
2007. június;182462;257128;169351;164873;176103;200124
2007. július;181110;254839;165762;163512;175446;197231
2007. augusztus;177336;240993;158445;154135;174115;187762
2007. szeptember;175401;242223;158281;152465;171281;188092
2007. október;181718;268419;159918;155780;176084;198652
2007. november;205312;313644;183701;171296;196939;230192
2007. december;210969;338624;160089;206528;205849;224825
2008. január;205132;352419;241694;172848;178064;281652
2008. február;188317;255350;164064;165300;185886;196983
2008. március;193361;257492;174994;165575;190119;204671
2008. április;193829;272536;165320;162953;191249;203709
2008. május;194635;262411;173176;170424;191608;205047
2008. június;199733;284644;192341;174066;190935;225648
2008. július;194469;279301;171188;173964;189197;210606
2008. augusztus;189465;257745;165977;165432;186610;199463
2008. szeptember;189673;261226;167097;163493;186201;201445
2008. október;196739;304110;169743;166085;189490;218883
2008. november;222705;338097;216547;183066;209517;261197
2008. december;220727;315047;165045;217671;221069;220118
2009. január;194281;275583;179296;166333;187438;214816
2009. február;191933;249884;166085;162804;191034;196984
2009. március;201365;255144;173243;169735;201733;203403
2009. április;200454;269174;163760;164840;201213;201955
2009. május;200045;262965;170938;171221;199653;203644
2009. június;201662;264296;170892;173428;201838;203864
2009. július;197307;265635;161820;163525;198134;198550
2009. augusztus;190417;245002;154624;166273;193112;186538
2009. szeptember;191057;245138;154992;162807;194152;186628
2009. október;193470;255286;156401;160153;195805;191335
2009. november;215792;281981;183041;166681;216925;218114
2009. december;220770;306460;163920;202621;224091;214889
2010. január;206362;289026;199867;166300;197146;232069
2010. február;193553;244681;152026;166410;198457;185100
2010. március;220144;308029;197010;166289;215577;236072
2010. április;202693;249902;150262;183752;211440;184921
2010. május;198380;249911;158988;166354;203434;190291
2010. június;202702;259449;160023;171595;207727;194454
2010. július;197761;245257;155112;165269;203979;186795
2010. augusztus;194018;241666;150081;162430;200603;182114
2010. szeptember;195553;241716;152426;162074;202427;183295
2010. október;195832;250779;150995;164113;201729;185585
2010. november;213135;260463;169640;169292;220231;201261
2010. december;210655;251155;159829;192238;219398;192101
2011. január;210171;259890;169152;179522;213881;204012
2011. február;202677;244449;161017;187666;207047;193364
2011. március;216956;243678;170028;190461;225324;198689
2011. április;214697;269462;163782;184241;219971;204694
2011. május;212048;250833;172449;184267;216913;202772
2011. június;212112;253767;172665;191891;216188;204003
2011. július;210233;275506;170012;185371;211040;211041
2011. augusztus;206744;246036;165096;184620;211553;196807
2011. szeptember;205820;247060;167102;184244;209714;198331
2011. október;207792;259501;165577;183525;211236;201862
2011. november;226066;271979;177806;192686;232479;213700
2011. december;231929;275470;173961;218332;240289;212684
2012. január;218484;243324;168846;196314;224018;206888
2012. február;216535;232858;162300;194875;225398;197463
2012. március;222386;226681;155051;197717;237711;189799
2012. április;220098;227123;154456;197011;234423;189781
2012. május;225511;245104;156635;201440;237027;201560
2012. június;220777;231712;162626;205779;231550;197686
2012. július;225038;266605;156955;225816;230206;212981
2012. augusztus;214803;227258;154473;193999;225704;191768
2012. szeptember;213574;229470;152493;198971;223568;192016
2012. október;217580;229537;155592;197484;228919;193687
2012. november;238419;263695;176609;205938;247181;221705
2012. december;243668;239781;168890;229136;260747;205850
2013. január;224911;230273;156010;202529;232308;208854
2013. február;222633;231444;158079;202501;228478;210343
2013. március;229462;225614;141473;209105;243924;198262
2013. április;230272;224896;135689;207476;247606;194778
2013. május;232004;240026;135598;206260;245679;204682
2013. június;229093;246425;142717;210131;238050;211368
2013. július;229618;243027;137079;211193;240516;207382
2013. augusztus;224838;241160;135945;205795;234287;205868
2013. szeptember;224265;241050;142635;214697;232153;208067
2013. október;230016;240488;145196;215023;240654;208323
2013. november;248532;272486;151844;211560;260981;226240
2013. december;241307;245019;133720;221469;262474;201441
2014. január;226916;238457;133358;196235;242346;199156
2014. február;226773;240791;135788;198453;240901;201617
2014. március;235871;238085;133789;199188;256846;198379
2014. április;239517;251260;133261;203671;258434;205893
2014. május;243742;246715;155925;219017;256606;217637
2014. június;237191;246886;153849;216115;249005;214447
2014. július;236775;256333;143225;205910;248515;215413
2014. augusztus;229292;241402;136617;212020;243455;202326
2014. szeptember;229632;245319;137882;208654;242864;205170
2014. október;237450;258146;144970;219805;248684;216237
2014. november;251224;257888;161187;219927;266239;223031
2014. december;257929;265392;142283;254150;277790;218714
2015. január;235869;247345;140472;215510;250480;207924
2015. február;234397;244496;139893;210873;249163;206086
2015. március;248175;247172;146075;215628;267080;211123
2015. április;248424;246183;143022;212094;269587;208453
2015. május;247458;261124;141203;215665;264051;216707
2015. június;245896;257116;149936;217999;261247;217128
2015. július;244441;265087;142085;223899;258019;218603
2015. augusztus;241635;274240;138617;210934;252652;222192
2015. szeptember;241621;268446;140166;217361;253575;219649
2015. október;248853;288046;143058;212011;258461;232841
2015. november;264233;281628;159595;221617;279693;236201
2015. december;273350;298957;153447;261769;288148;244087
2016. január;248969;271345;144202;217132;262608;223913
2016. február;248250;268642;144462;220655;261963;222432
2016. március;264318;273225;148445;237034;282861;227258
2016. április;264471;282176;143048;223678;283571;229085
2016. május;262136;286297;143655;226506;278796;231457
2016. június;259875;283456;152475;233001;274209;232885
2016. július;256881;285606;145632;223402;270219;232268
2016. augusztus;258260;298024;144893;232283;268297;239765
2016. szeptember;257857;295708;147248;227961;268004;239576
2016. október;262244;304960;146931;229250;271842;245405
2016. november;285772;312905;174823;241418;299590;261105
